Country,Year,Age_Group,Sex,Deaths,Rate_per_100k,Region,Income_Level,Treatment_Access,Urban_Rural,Hospitalized,Notes
Japan,2021,65+,Female,793,2.37,North,Upper-Middle,Good,Rural,Yes,Syphilis
Canada,2000,15-24,Male,538,15.08,South,Upper-Middle,Good,Urban,No,Syphilis
Brazil,2002,55-64,Male,177,26.6,East,Lower-Middle,Good,Rural,No,Syphilis
Japan,2014,55-64,Female,575,20.47,Central,Upper-Middle,Moderate,Rural,Yes,Syphilis
Brazil,2020,65+,Female,429,13.76,West,Upper-Middle,Poor,Rural,No,Syphilis
India,2022,65+,Female,73,6.65,East,High,Good,Rural,Yes,Syphilis
Germany,2009,65+,Female,847,40.98,South,High,Good,Urban,No,Syphilis
Brazil,2007,0-14,Female,167,49.81,North,Low,Poor,Rural,Yes,Syphilis
India,2011,25-34,Female,225,16.54,West,Low,Moderate,Rural,No,Syphilis
France,2021,25-34,Female,577,19.14,Central,Low,Moderate,Rural,Yes,Syphilis
South Africa,2014,45-54,Male,581,30.94,East,High,Moderate,Urban,No,Syphilis
Japan,2008,0-14,Male,952,35.95,Central,Low,Poor,Rural,No,Syphilis
Germany,2023,45-54,Female,9,19.66,South,Low,Poor,Urban,No,Syphilis
Australia,2009,45-54,Male,236,45.26,Central,High,Moderate,Urban,Yes,Syphilis
South Africa,2019,45-54,Female,710,28.04,North,Lower-Middle,Moderate,Rural,No,Syphilis
Japan,2008,35-44,Male,924,22.57,East,High,Poor,Urban,Yes,Syphilis
Germany,2014,45-54,Female,685,32.37,East,Lower-Middle,Moderate,Rural,No,Syphilis
Australia,2022,55-64,Male,794,47.64,North,High,Good,Rural,No,Syphilis
UK,2020,15-24,Female,28,39.75,Central,Low,Poor,Rural,No,Syphilis
India,2020,55-64,Male,808,2.1,North,Upper-Middle,Moderate,Rural,No,Syphilis
UK,2000,55-64,Female,911,16.68,West,Upper-Middle,Good,Rural,No,Syphilis
India,2001,25-34,Male,646,23.58,North,Lower-Middle,Poor,Rural,No,Syphilis
USA,2018,35-44,Male,27,15.79,Central,Lower-Middle,Poor,Rural,Yes,Syphilis
Canada,2013,45-54,Female,550,35.04,North,Lower-Middle,Good,Urban,Yes,Syphilis
Germany,2007,25-34,Male,196,41.33,South,Upper-Middle,Poor,Urban,No,Syphilis
UK,2005,0-14,Male,203,36.59,North,Lower-Middle,Moderate,Rural,No,Syphilis
Canada,2011,0-14,Male,85,49.47,North,High,Poor,Rural,No,Syphilis
Germany,2014,25-34,Male,832,13.7,Central,High,Moderate,Urban,No,Syphilis
Japan,2013,15-24,Male,30,43.76,West,Upper-Middle,Good,Rural,No,Syphilis
USA,2020,25-34,Female,466,38.35,West,High,Good,Urban,Yes,Syphilis
Japan,2000,25-34,Female,99,18.17,Central,Lower-Middle,Poor,Urban,No,Syphilis
India,2010,35-44,Male,899,36.73,Central,Upper-Middle,Good,Rural,No,Syphilis
Canada,2002,0-14,Female,190,5.29,Central,Lower-Middle,Good,Rural,Yes,Syphilis
Germany,2018,0-14,Male,12,39.49,South,High,Poor,Urban,Yes,Syphilis
Brazil,2017,45-54,Female,603,26.66,East,Lower-Middle,Moderate,Urban,Yes,Syphilis
Canada,2019,55-64,Male,30,14.69,North,Upper-Middle,Poor,Rural,No,Syphilis
France,2001,25-34,Male,725,32.82,Central,Lower-Middle,Poor,Rural,No,Syphilis
Australia,2006,25-34,Male,38,32.12,Central,High,Moderate,Urban,No,Syphilis
UK,2007,15-24,Male,853,10.55,Central,Low,Moderate,Urban,No,Syphilis
Germany,2018,65+,Female,572,1.62,West,Upper-Middle,Moderate,Urban,No,Syphilis
South Africa,2021,65+,Female,294,21.74,Central,Lower-Middle,Poor,Rural,Yes,Syphilis
South Africa,2014,0-14,Female,360,28.52,North,Upper-Middle,Moderate,Rural,No,Syphilis
Australia,2009,15-24,Male,655,43.84,Central,Lower-Middle,Good,Rural,No,Syphilis
India,2021,35-44,Female,914,46.42,North,Low,Moderate,Urban,No,Syphilis
Canada,2000,45-54,Female,180,26.49,South,High,Good,Urban,Yes,Syphilis
Canada,2005,15-24,Male,797,37.71,East,Lower-Middle,Moderate,Rural,No,Syphilis
South Africa,2012,0-14,Male,112,22.02,West,Lower-Middle,Good,Urban,No,Syphilis
Canada,2013,35-44,Male,742,37.33,North,Low,Good,Urban,No,Syphilis
Australia,2002,25-34,Female,444,10.32,South,Upper-Middle,Good,Urban,No,Syphilis
Canada,2010,35-44,Female,21,18.62,East,High,Good,Urban,Yes,Syphilis
India,2002,55-64,Male,145,31.75,East,Lower-Middle,Good,Urban,Yes,Syphilis
UK,2018,15-24,Female,499,1.01,East,Lower-Middle,Moderate,Rural,Yes,Syphilis
France,2009,0-14,Male,146,36.15,North,High,Poor,Rural,No,Syphilis
UK,2014,15-24,Female,441,41.79,South,Low,Poor,Rural,Yes,Syphilis
France,2010,25-34,Male,887,20.02,Central,Upper-Middle,Poor,Rural,Yes,Syphilis
Brazil,2014,65+,Female,421,22.45,South,High,Poor,Rural,No,Syphilis
UK,2023,25-34,Female,316,42.58,South,Upper-Middle,Poor,Urban,No,Syphilis
Australia,2012,0-14,Female,166,38.81,South,Low,Good,Urban,Yes,Syphilis
USA,2004,55-64,Male,652,14.48,North,Low,Moderate,Urban,Yes,Syphilis
Brazil,2003,45-54,Male,203,16.27,North,High,Good,Rural,Yes,Syphilis
France,2012,35-44,Male,496,33.98,North,Lower-Middle,Moderate,Urban,Yes,Syphilis
France,2008,35-44,Female,756,28.2,South,Low,Moderate,Urban,No,Syphilis
Brazil,2016,25-34,Male,625,8.2,North,Low,Moderate,Urban,No,Syphilis
France,2001,15-24,Female,468,15.57,East,High,Moderate,Rural,Yes,Syphilis
Germany,2023,65+,Male,713,45.01,North,High,Poor,Urban,Yes,Syphilis
USA,2004,15-24,Male,385,34.44,West,High,Moderate,Urban,Yes,Syphilis
Australia,2015,55-64,Female,314,49.3,North,Low,Moderate,Rural,No,Syphilis
Germany,2006,45-54,Female,771,38.37,North,Upper-Middle,Poor,Rural,No,Syphilis
France,2000,15-24,Male,255,47.1,North,Low,Good,Urban,No,Syphilis
UK,2011,35-44,Male,959,10.89,North,High,Good,Rural,Yes,Syphilis
Germany,2020,65+,Female,917,38.6,West,Lower-Middle,Good,Urban,No,Syphilis
UK,2010,15-24,Female,23,1.11,Central,Lower-Middle,Good,Rural,Yes,Syphilis
Brazil,2011,65+,Male,905,33.57,North,High,Moderate,Urban,Yes,Syphilis
Canada,2018,45-54,Female,758,23.52,East,Lower-Middle,Poor,Urban,No,Syphilis
Japan,2011,35-44,Male,339,17.4,West,Low,Poor,Rural,Yes,Syphilis
France,2011,65+,Male,493,43.13,Central,Upper-Middle,Good,Rural,No,Syphilis
